title,date,content,rating
It gets the job done!,28th August 2021,This toothpaste left my teeth and mouth feeling really fresh and clean. I would definitely purchase again.,4 stars
Refreshing toothpaste,27th August 2021,The Colgate toothpaste is nice and refreshing. The paste is not gritty and the flavor is not overpowering. It gets your teeth clean and I noticed the whitening within the week. The tube is easy to open and close.,5 stars
Lots of features!,27th August 2021,Thus toothpaste is absolutely better than I had before. I love this brand a lot. Colgate always cares about the final result. I don't have any irritation after using this paste. It does whiten the teeth and protects from cavity. It is worth using this toothpaste.,5 stars
Sensitivity be gone,27th August 2021,"Colgate Total Whitening Sensitive works perfect for me. I suffer from sensitive teeth and regular toothpaste are too strong. I finally found my formula. It is sensitive, it does not hurt to brush. I love that it does not take away from whitening and/or teeth protection. I love it.",5 stars
Great toothpaste,27th August 2021,I thought this toothpaste was great for whitening my teeth. I loved the taste and it works great,5 stars
Teeth are whiter,27th August 2021,This tooth paste has a great consistency. It lathers quick and cleans well. Teeth are noticeably whiter. Great toothpaste.,5 stars
Fresh Breath,26th August 2021,I received this toothpaste as a sample for my honest review. I have been using this product for a week and notice that my teeth are whiter and my it leaves my breath smelling fresh. I didn't notice any teeth sensitivity that I sometimes feel with other toothpaste. I recommend this product for clean teeth that is not overly priced.,5 stars
Colgate Total Mouth Health Toothpaste,26th August 2021,"Colgate has a new toothpaste formula that does everything for Total Mouth Health. The toothpaste tastes great, very minty and fights bad breath. It uses stannous fluoride and provides 12 hours of antibacterial protection. Also whitens teeth and is okay for sensitive teeth. Great product!",5 stars
Feeling Fresh whole mouth clean,26th August 2021,"I am very pleased with Colgate total whitening toothpaste because it made my whole mouth feel super clean - teeth, tongue, gums and breath. The aftertaste was fresh and pleasant and my teeth appeared whiter after a weeks use. I am excited to see and feel the results after continued use. Thank you for this great product trial!",5 stars
"Cleans teeth, makes you smile",26th August 2021,"Colgate Total Whitening™ Toothpaste in paste form does a good job of cleaning teeth and keeping a mouth in good condition. Unlike a lot of paste form tooth pastes, this does not have a weird taste to it, which is very pleasant for me. While it is a whitening toothpaste, results will not be immediate, and some people may need to temper their expectations of that. Over a few weeks, a radiant smile should appear or be maintained.",5 stars
Long-lasting fresh breath,26th August 2021,"This toothpaste is ok. It provides long-lasting minty breath/taste, unlike a lot of others that promote the same. However, my one complaint would be that it does not dissolve when utilizing it. Half of the toothpaste ends up intact in the sink. The toothpaste tube is all crinkled now that the toothpaste is almost gone and does not like to stand up. Overall, it's not a bad toothpaste, but would not be my first choice.",4 stars
Whitens as it cleans,26th August 2021,I love taking good care of my teeth. I really like this Colgate total whitening toothpaste. It has a very mild flavor but is still very effective at cleaning and slightly whitening my teeth. After using this toothpaste my teeth and gums feel super clean and the fresh breath lasts for a few hours. Overall very happy with this toothpaste!,5 stars
Colgate Total,25th August 2021,The tooth paste did an excellent job of cleaning and whitening my teeth. The toothpaste was not abassive and glided over my teeth It had a good taste with no aftertaste. there was plenty of lather and easy to rinse out of my mouth. The toothpaste was easy to pen and close and it came out of the tube easily,5 stars
Dentist clean feeling,25th August 2021,I was quite pleased with how clean my teeth felt after brushing. It felt like I just came from the dentist without any pain of course. It also made my teeth slightly whiter.,5 stars
"Effective, mild, easy.",25th August 2021,"I am a long-time user of Colgate products and find that Colgate Total Whitening Toothpaste is a continuation of a quality product that works well. It has a mild mint flavor so it isn't overpowering. Spreads and foams nicely, to get the job done.",5 stars
Colgate Total Whitening,25th August 2021,"I like the fact that this Colgate Total Whitening Toothpaste has whole mouth health protection that helps fight bacteria on your teeth, tongue, cheeks and gums. It has stannous fluoride that gives you the benefits of sensitivity relief, better enamel strength and also helps neutralize odor. While using this toothpaste I have noticed that my teeth are getting whiter and my mouth feels cleaner and my breath is fresher.",3 stars
Excellent toothpaste,25th August 2021,"I've been using Colgate Total Whitening Toothpaste for awhile now and I absolutely love it. My teeth look and feel sparkling clean. My whole mouth feels fresh, no bad breath, and that ""clean"" feeling last the whole day! Highly recommend this product",5 stars
Colgate whitening paste,25th August 2021,"This toothpaste did wonders on my teeth, it cleared away all the plaque,made my teeth nice bright,white and shiny",5 stars
It works,25th August 2021,This tooth paste works well with a long lasting clean feeling.,4 stars
total whitening paste,25th August 2021,"the paste was kind of mix of colgate total and colgat whitening paste, which is ok to do brush with. clean wells, remove bad breath and slightly whitens the teeth",4 stars
Toothpaste.,25th August 2021,this toothpaste seemed to have more cleaning power. it was a very nice experience,5 stars
